,,,,,,
,,FFU RECORD BOOK,,,,
,2018-Present (Legend located at bottom),,,,,
,,,,,,
,REGULAR SEASON,,,,,
,Category,,Record,Team,,Year(s)
,"Most Wins, Regular Season:",,,,,
,"Most Wins, Reg. Season + Playoffs",,,,,
,"Best Winning Pct., Single Season (Regular Season):",,,,,
,"Best Winning Pct., Single Season (Regular Season + Playoffs):",,,,,
,Most Wins (Career),,,,,
,Most Winning Seasons:,,,,,
,Longest Winning Streak:,,,,,
,Longest Winning Streak to Begin Season:,,,,,
,Fastest to 100 Wins (# of games),,,,,
,Category,,Record,Team,,Year(s)
,Most Losses While Playing Entire Season:,,,,,
,Longest Losing Streak to Begin Season:,,,,,
,Longest Losing Streak:ƒ,,,,,
,"Least Losses, Reg. Season + Playoffs:",,,,,
,"Most Losses, Career:",,,,,
,Fastest to 100 Losses (# of games),,,,,
,,,,,,
,FFU PLAYOFFS,,,,,
,,,,,,
,Category,,Record,Team,,Year(s)
,Most Playoff Appearances:,,,,,
,Most Playoff Games:,,,,,
,Most First-Round Byes:,,,,,
,Most Consecutive First-Round Byes,,,,,
,Most Consecutive Playoff Appearances:,,,,,
,Longest Active Playoff Appearance Streak:,,,,,
,Most Consecutive Seasons Without Playoff Appearance:,,,,,
,Longest Active Streak of Seasons Without Playoff Appearance:,,,,,
,Category,,Record,Team,,Year(s)
,Longest Losing Streak to Begin Season While Making Playoffs:,,,,,
,Longest Losing Streak to Begin Season While Making Championship Game:,,,,,
,Most Wins to Start Season While Missing Playoffs: ,,,,,
,,,,,,
,CHAMPIONSHIPS,,,,,
,,,,,,
,Category,,Record,Team,,Year(s)
,Most Championship Games:,,,,,
,Most Consecutive Championship Games:,,,,,
,Most Championship Game Losses:,,,,,
,Most Championship Wins:,,,,,
,Most Consecutive Championship Wins:,,,,,
,,,,,,
,,,,,,
,POINTS AND MOVES,,,,,
,,,,,,
,Category,,Record,Team,,Year(s)
,Margin of Victory:,,,,,
,Largest Single Week:,,,,,
,"Largest Single Week, Playoffs:",,,,,
,"Largest Single Week, Championship:",,,,,
,Largest Season Average:,,,,,
,Smallest Single Week:,,,,,
,Smallest Season Average:,,,,,
,,,,,,
,Margin of Defeat:,,,,,
,Category,,Record,Team,,Year(s)
,Largest Season Average:,,,,,
,Smallest Season Average:,,,,,
,,,,,,
,Points/Transactions:,,,,,
,,,,,,
,Category,,Record,Team,,Year(s)
,Strength of Schedule:,,,,,
,"Strength of Schedule, Hardest:",,,,,
,"Strength of Schedule, Hardest (Career) (Avg.):***",,,,,
,"Strength of Schedule, Easiest:",,,,,
,"Strength of Schedule, Easiest (Career) (Avg.):***",,,,,
,"Point Differential, Best:",,,,,
,"Point Differential, Worst:",,,,,
,,,,,,
,"Team Points, Most:",,,,,
,Category,,Record,Team,,Year(s)
,"Single Week, 2018-Present:",,,,,
,"Season (Avg.), 2018-Present:",,,,,
,Most Points in Championship Game:,,,,,
,Most Points Over Playoffs (Avg.):,,,,,
,"Avg. Points Per Game, Playoffs:",,,,,
,Most Points While Missing Playoffs:,,,,,
,Most Points in a Losing Effort:,,,,,
,,,,,,
,"Team Points, Least:",,,,,
,Category,,Record,Team,,Year(s)
,"Single Week, All-Time:",,,,,
,"Season (Average), All-Timeƒ:",,,,,
,,,,,,
,Least Points While Making Playoffs:,,,,,
,,,,,,
,UPR (Union Power Rating):,,,,,
,Category,,Record,Team,,Year(s)
,"Overall UPR, Highest (Career)",,,,,
,"Overall UPR, Lowest (Career)",,,,,
,"Single-Season UPR, Highest",,,,,
,"Single-Season UPR, Lowest",,,,,
